state,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,date,month_abbr,day,state_abbr
Texas,2020-04-13T23:07:54Z,31.0545,-97.5635,14275,305,2269,13970,48,62.106907327923295,133226,1176,2.136602451838879,579.63256291908294,8.238178633975481,2020-04-13,Apr,13,TX
Utah,2020-04-13T23:07:54Z,40.15,-111.8624,2363,13,218,2350,49,82.45280161569806,45787,201,0.5501481168006771,1597.6582427329527,8.506136267456624,2020-04-13,Apr,13,UT
Vermont,2020-04-13T23:07:54Z,44.0459,-72.7107,748,28,15,720,50,122.50426226393773,10366,33,3.7433155080213902,1697.699442016014,4.411764705882353,2020-04-13,Apr,13,VT
Virginia,2020-04-13T23:07:54Z,37.7693,-78.17,5747,149,NA,5598,51,72.68031915095425,41401,1238,2.592657038454846,523.5841122618161,21.54167391682617,2020-04-13,Apr,13,VA
Washington,2020-04-13T23:07:54Z,47.4009,-121.4905,10635,513,NA,10122,53,140.8720663077597,93802,527,4.823695345557122,1242.5088447391138,4.955336154207805,2020-04-13,Apr,13,WA
West Virginia,2020-04-13T23:07:54Z,38.4912,-80.9545,611,8,85,603,54,46.18298742704071,16655,164,1.309328968903437,1258.8832333835728,26.841243862520457,2020-04-13,Apr,13,WV
Wisconsin,2020-04-13T23:07:54Z,44.2685,-89.6165,3428,154,NA,3274,55,66.24703767713304,40197,993,4.492415402567095,776.8180202764635,28.96732788798133,2020-04-13,Apr,13,WI
Wyoming,2020-04-13T23:07:54Z,42.756,-107.3025,275,1,138,274,56,55.30528517416137,5964,41,0.36363636363636365,1199.4208028316307,14.909090909090908,2020-04-13,Apr,13,WY
Alabama,2020-04-14T23:33:31Z,32.3182,-86.9023,3953,114,NA,3839,1,84.30554137,33117,493,2.883885656,706.2855081,12.4715406,2020-04-14,Apr,14,AL
Alaska,2020-04-14T23:33:31Z,61.3707,-152.4044,285,9,98,276,2,47.67887525,8348,32,3.157894737,1396.572809,11.22807018,2020-04-14,Apr,14,AK
Arizona,2020-04-14T23:33:31Z,33.7298,-111.4312,3809,131,249,3678,4,52.33065113,44096,580,3.439222893,605.8210534,15.22709373,2020-04-14,Apr,14,AZ
Arkansas,2020-04-14T23:33:31Z,34.9697,-92.3731,1498,32,427,1466,5,57.85957427,21131,130,2.136181575,816.1753431,8.67823765,2020-04-14,Apr,14,AR
California,2020-04-14T23:33:31Z,36.1162,-119.6816,25356,767,NA,24589,6,64.66945279,202208,5163,3.028868907,515.7233282,20.36204449,2020-04-14,Apr,14,CA
Colorado,2020-04-14T23:33:31Z,39.0598,-105.3111,7950,327,NA,7623,8,140.290495,38742,1493,4.11320755,683.6646983,18.7798742,2020-04-14,Apr,14,CO
Connecticut,2020-04-14T23:33:31Z,41.5978,-72.7554,13989,671,NA,13318,9,392.3667295,45841,1779,4.79662592,1285.759043,12.71713489,2020-04-14,Apr,14,CT
Delaware,2020-04-14T23:33:31Z,39.3185,-75.5071,1926,43,277,1883,10,197.7891974,12304,204,2.232606438,1263.550511,10.59190031,2020-04-14,Apr,14,DE
District of Columbia,2020-04-14T23:33:31Z,38.8974,-77.0268,2058,67,518,1991,11,291.6050891,11518,295,3.255587949,1632.024983,14.33430515,2020-04-14,Apr,14,DC
Florida,2020-04-14T23:33:31Z,27.7663,-81.6868,21628,571,NA,21057,12,101.8622019,203180,3060,2.640096172,956.9244585,14.14832624,2020-04-14,Apr,14,FL
